CMD: trivy fs --format cyclonedx --output /home/duongnv48/Desktop/benchmark-sbom-tools/nodejs/sboms/prisma.trivy.cdx.json /home/duongnv48/Desktop/benchmark-sbom-tools/nodejs/repos/prisma
EXIT_CODE: 0

==== STDERR ====
2025-12-01T11:06:52+07:00	INFO	"--format cyclonedx" disables security scanning. Specify "--scanners vuln" explicitly if you want to include vulnerabilities in the "cyclonedx" report.
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/pg-self-signed-cert-error/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/prisma-client-generator/enums-tsoa/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/prisma-client-generator/monorepo-nulltypes/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/prisma-client-generator/node-tsup-esm/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/prisma-client-generator/node-tsx-cjs/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/prisma-client-generator/node-tsx-esm/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/prisma-client-generator/node-tsx-esm-mts/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/prisma-client-mutually-exclusive-options/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/prisma-config/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/publish-extensions/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/publish-extensions/simple-ext/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/publish-extensions/tests/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/require-in-the-middle/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/schema-folder-sqlite/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/structured-output/prisma-config/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/typed-sql-query-compiler-adapter-libsql/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/unsupported-browser-error/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/unsupported-browser-error/tests/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/unsupported-edge-error/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="packages/client/tests/e2e/unsupported-edge-error/tests/node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="node_modules"
2025-12-01T11:06:53+07:00	INFO	[pnpm] To collect the license information of packages, "pnpm install" needs to be performed beforehand	dir="sandbox/studio/node_modules"
2025-12-01T11:06:53+07:00	INFO	[npm] To collect the license information of packages, "npm install" needs to be performed beforehand	dir="packages/cli/src/__tests__/fixtures/custom-output-npm/node_modules"
2025-12-01T11:06:53+07:00	INFO	Suppressing dependencies for development and testing. To display them, try the '--include-dev-deps' flag.
2025-12-01T11:06:53+07:00	INFO	Number of language-specific files	num=46

